"NAME","NATURAL_NODE_NAME","DESCRIPTION","ASSOCIATED_LE","ASSOCIATED_BU","GAAP_GL_BOOK_OF_RECORD","OG_LEGACY_ERP_SOURCE","OG_LEGACY_ERP_SOURCE_DESC"
"LB_H394","H394","BH1475_1BHNWC_CFC Holdings LLC","LE_BH1475","BU_1BHNWC","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_H395","H395","BH1605_1BHNWC_Baker Hughes Company","LE_BH1605","BU_1BHNWC","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_H396","H396","BH1610_1BHNWC_Bear MergerSub LLC","LE_BH1610","BU_1BHNWC","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_H397","H397","BH1670_1BHNWC_EHHC NewCo LLC","LE_BH1670","BU_1BHNWC","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_H383","H383","CP0111_1BHNWC_GE Consolidation/Elimination- PLACEHOLDER-NON LEGAL ENTITY","LE_CP0111","BU_1BHNWC","GL_GL014","OE_GL014001","ES Pascal - OG Strategic"
"LB_5480","5480","BH5480_OGDRIL_BJ SERVICES COMPANY (CAMBODIA) CO., LTD.","LE_BH5480","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_5485","5485","BH5485_OGDRIL_Oilfield Equipment Rental (L) Bhd.","LE_BH5485","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_5506","5506","BH5500_OGDRIL_BJ Service - PV Drilling Joint Venture Company Limited","LE_BH5500","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_4270","4270","BH4270_OGDRIL_Baker Oilfield Africa Limited, Nigeria Tax Registration","LE_BH4270","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_4285","4285","BH4285_OGDRIL_Baker Hughes (Ghana) Limited","LE_BH4285","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_4295","4295","BH4295_OGDRIL_BJ Pumping Services Company S.A., Nigeria Tax Registration","LE_BH4295","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_3295","3295","BH3035_OGDRIL_Baker Hughes Venezuela, S.R.L.","LE_BH3035","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_3042","3042","BH3040_OGDRIL_Baker Hughes (Trinidad) Limited","LE_BH3040","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_3072","3072","BH3070_OGDRIL_Baker Hughes do Brasil Ltda.","LE_BH3070","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_3073","3073","BH3070_OGDRIL_Baker Hughes do Brasil Ltda.","LE_BH3070","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_048F","048F","BH2295_OGDRIL_Zeroth Technology Limited","LE_BH2295","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_2655","2655","BH2655_OGDRIL_BJ Services Company Middle East Limited","LE_BH2655","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_5461","5461","BH2655_OGDRIL_BJ Services Company Middle East Limited","LE_BH2655","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_5531","5531","BH2655_OGDRIL_BJ Services Company Middle East Limited","LE_BH2655","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_051F","051F","BH2310_OGDRIL_Baker Hughes International S.R.L.","LE_BH2310","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_1221","1221","BH1900_OGDRIL_Baker Hughes International Branches LLC","LE_BH1900","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_1636","1636","BH1900_OGDRIL_Baker Hughes International Branches LLC","LE_BH1900","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_1641","1641","BH1900_OGDRIL_Baker Hughes International Branches LLC","LE_BH1900","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_1646","1646","BH1900_OGDRIL_Baker Hughes International Branches LLC","LE_BH1900","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_1651","1651","BH1900_OGDRIL_Baker Hughes International Branches LLC","LE_BH1900","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_2888","2888","BH8013_OGDRIL_Gaffney, Cline and Associates LLP","LE_BH8013","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_7206","7206","BH8016_OGDRIL_International Professional Resources (US) Limited","LE_BH8016","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_2390","2390","BH9053_OGDRIL_BJ Services Intl S.a r.l., Finanz Zweigniederlassung Zurich","LE_BH9053","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_5523","5523","BH8022_OGDRIL_P.T. Nowsco Well Services Indonesia","LE_BH8022","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_6118","6118","BH9000_OGDRIL_Baker Hughes Oilfield Operations Inc., Abu Dhabi Branch","LE_BH9000","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_3137","3137","BH9001_OGDRIL_Baker Hughes Oilfield Operations Inc. Sucural del Peru","LE_BH9001","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_5505","5505","BH5505_OGDRIL_Baker Hughes Services Pte. Ltd. Vietnam Branch","LE_BH5505","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
"LB_5518","5518","BH5515_OGDRIL_Baker Hughes Manufacturing (Thailand) Co., Ltd.","LE_BH5515","BU_OGDRIL","GL_GL042","OE_GL042001","BHGE - Strategic - BHI SAP"
