"LE_ID","OWNER_LE_ID"
"A01046",""
"AE0023",""
"AE0025",""
"AE0026",""
"AE0027",""
"AL7867",""
"BH1030",""
"BH1031",""
"BH1045",""
"BH1050",""
"BH1060",""
"BH1070",""
"BH1080",""
"BH1085",""
"BH1140",""
"BH1190",""
"BH1200",""
"BH1240",""
"BH1255",""
"BH1270",""
"BH1280",""
"BH1305",""
"BH1310",""
"BH1315",""
"BH1330",""
"BH1350",""
"BH1365",""
"BH1370",""
"BH1380",""
"BH1425",""
"BH1445",""
"BH1465",""
"BH1475",""
"BH1505",""
"BH1540",""
"BH1570",""
"BH1605",""
"BH1610",""
"BH1630",""
"BH1665",""
"BH1670",""
"BH1675",""
"BH1680",""
"BH1900",""
"BH2010",""
"BH2019",""
"BH2020",""
"BH2025",""
"BH2035",""
"BH2040",""
"BH2050",""
"BH2060",""
"BH2070",""
"BH2150",""
"BH2155",""
"BH2165",""
"BH2180",""
"BH2190",""
"BH2195",""
"BH2210",""
"BH2220",""
"BH2265",""
"BH2270",""
"BH2275",""
"BH2290",""
"BH2295",""
"BH2310",""
"BH2315",""
"BH2320",""
"BH2325",""
"BH2330",""
"BH2335",""
"BH2345",""
"BH2365",""
"BH2370",""
"BH2375",""
"BH2385",""
"BH2388",""
"BH2410",""
"BH2420",""
"BH2475",""
"BH2480",""
"BH2515",""
"BH2520",""
"BH2530",""
"BH2540",""
"BH2545",""
"BH2550",""
"BH2555",""
"BH2565","BH2655"
"BH2595",""
"BH2600",""
"BH2605",""
"BH2610",""
"BH2620",""
"BH2630",""
"BH2636",""
"BH2645",""
"BH2655",""
"BH2660",""
"BH2665",""
"BH2675",""
"BH2680",""
"BH2685",""
"BH2690",""
"BH2705",""
"BH2720",""
"BH2725",""
"BH2730",""
"BH2745",""
"BH2750",""
"BH2820",""
"BH2830",""
"BH2859",""
"BH2866",""
"BH2869",""
"BH2871",""
"BH2872",""
"BH2873",""
"BH2874",""
"BH2875",""
"BH2877",""
"BH2878",""
"BH2879",""
"BH2880",""
"BH2881",""
"BH2885",""
"BH2886",""
"BH2892",""
"BH3010",""
"BH3020","BH2595"
"BH3030",""
"BH3035",""
"BH3040",""
"BH3070",""
"BH3125","BH1080"
"BH3145",""
"BH3160",""
"BH3180",""
"BH3190",""
"BH3195",""
"BH3215",""
"BH3220",""
"BH3225",""
"BH3240",""
"BH3255",""
"BH3280",""
"BH3290",""
"BH3310",""
"BH3340",""
"BH3345",""
"BH3355",""
"BH3390",""
"BH3400",""
"BH3405",""
"BH3410",""
"BH3420",""
"BH3445",""
"BH3450",""
"BH3470",""
"BH3555",""
"BH3560",""
"BH4010",""
"BH4025",""
"BH4035",""
"BH4040",""
"BH4060",""
"BH4085",""
"BH4160","BH7045"
"BH4170",""
"BH4190",""
"BH4255","BH7240"
"BH4265",""
"BH4270","BH7250"
"BH4285",""
"BH4295","BH7310"
"BH4300",""
"BH4320",""
"BH4355",""
"BH4375",""
"BH4430",""
"BH4455",""
"BH4460",""
"BH5015",""
"BH5020",""
"BH5030",""
"BH5035",""
"BH5040",""
"BH5045",""
"BH5050",""
"BH5055",""
"BH5060",""
"BH5095",""
"BH5115",""
"BH5125",""
"BH5185",""
"BH5310",""
"BH5315",""
"BH5325",""
"BH5360",""
"BH5365",""
"BH5400",""
"BH5405",""
"BH5420",""
"BH5425",""
"BH5430",""
"BH5435",""
"BH5440",""
"BH5445",""
"BH5455",""
"BH5470",""
"BH5480",""
"BH5485",""
"BH5500",""
"BH5505","BH5420"
"BH5515",""
"BH5525",""
"BH5565",""
"BH5570",""
"BH5580",""
"BH5585",""
"BH5595",""
"BH5600",""
"BH6030","BH7140"
"BH6050","BH7305"
"BH6140","BH1540"
"BH6145",""
"BH6170",""
"BH6225",""
"BH6230",""
"BH6235",""
"BH6280","BH7065"
"BH6305",""
"BH6310",""
"BH6315","BH2859"
"BH6350",""
"BH6900",""
"BH7005",""
"BH7030",""
"BH7045",""
"BH7060",""
"BH7065",""
"BH7070",""
"BH7080",""
"BH7130",""
"BH7140",""
"BH7225",""
"BH7240",""
"BH7250",""
"BH7300",""
"BH7305",""
"BH7310",""
"BH7777",""
"BH8000",""
"BH8001",""
"BH8004",""
"BH8005",""
"BH8006",""
"BH8007",""
"BH8008",""
"BH8009",""
"BH8010",""
"BH8011",""
"BH8012",""
"BH8013",""
"BH8014",""
"BH8015",""
"BH8016",""
"BH8017",""
"BH8018",""
"BH8019",""
"BH8020",""
"BH8021",""
"BH8022",""
"BH8023",""
"BH8024",""
"BH8025",""
"BH8026",""
"BH8027",""
"BH9000","BH1030"
"BH9001","BH1030"
