"NAME","NATURAL_NODE_NAME","DESCRIPTION","ASSOCIATED_LB","ASSOCIATED_LE","ASSOCIATED_BU"
"RF_H37202","H37202","ANZ-AUS-BRENDALE-LOTS 3,4-BAILEY COURT-LB_H372","LB_H372","LE_IF1828","BU_OGHQTR"
"RF_R18501","R18501","ANZ-AUS-BRENDALE-LOTS 3,4-BAILEY COURT-LB_R185","LB_R185","LE_IF1828","BU_OGSUBS"
"RF_YQ1801","YQ1801","ANZ-AU-QUEENSLAND-8 BAILEY COURT, BRENDALE_YQ18","LB_YQ18","LE_IF1828","BU_OGDRIL"
"RF_H37203","H37203","ANZ-AUS-BRISBANE-LOT 27-8-BAILEY COURT-LB_H372","LB_H372","LE_IF1828","BU_OGHQTR"
"RF_R18502","R18502","ANZ-AUS-BRISBANE-LOT 27-8-BAILEY COURT-LB_R185","LB_R185","LE_IF1828","BU_OGSUBS"
"RF_S18501","S18501","ANZ-AUS-Brendale-8 Bailey Court-LB_S185","LB_S185","LE_IF1828","BU_OGSUBS"
"RF_H18401","H18401","ANZ-AUS-Broome-01-colo_ME_LB_WIF18","LB_H184","LE_IF1838","BU_OGHQTR"
"RF_R07201","R07201","ANZ-AUS-Broome-01-colo_ME_LB_DPA01","LB_R072","LE_IF1237","BU_OGSUBS"
"RF_U13001","U13001","ANZ-AUS-Broome-01-colo_ME_LB_CFO09","LB_U130","LE_IF1838","BU_OGTBMS"
"RF_U13101","U13101","ANZ-AUS-Broome-01-colo_ME_LB_CFO09","LB_U131","LE_IF1838","BU_OGTBMS"
"RF_H37204","H37204","ANZ-AUS-CHINCHILLA-LOT 9-OSBORNE STREET-LB_H372","LB_H372","LE_IF1828","BU_OGHQTR"
"RF_R18503","R18503","ANZ-AUS-CHINCHILLA-LOT 9-OSBORNE STREET-LB_R185","LB_R185","LE_IF1828","BU_OGSUBS"
"RF_H03101","H03101","ANZ-AUS-Jandakot-01-colo_ME_LB_HQAU1","LB_H031","LE_BR0393","BU_OGHQTR"
